Cliente;Número RO;Data Abertura RO;Ult Sts;Informação Solicitada ao Cliente;Dias Útimo Status;Motivo;Reclamado Ton;Reclamado M2;Comentários da Qualidade;Situação atual do RO;Qtd de FP realizado;Último FP realizado;Comentários do Pós vendas;Link
GLASSEC VIDROS DE SEGURANCA LTDA;02651-2024;17/07/2024;002;18/07/2024;502;FALHA DE METALIZAÇÃO;31,22;3.235,68;Reposição de obra (EDGE DELETION);;;;-;Sistema RO
GLASSEC VIDROS DE SEGURANCA LTDA;02652-2024;17/07/2024;002;18/07/2024;502;FALHA DE METALIZAÇÃO;50,74;5.257,98;Reposição de obra (EDGE DELETION);;;;-;Sistema RO
GLASSEC VIDROS DE SEGURANCA LTDA;02653-2024;17/07/2024;002;18/07/2024;502;FALHA DE METALIZAÇÃO;29,68;3.075,89;Reposição de obra (EDGE DELETION);;;;-;Sistema RO
GLASSEC VIDROS DE SEGURANCA LTDA;03488-2024;27/09/2024;002;27/09/2024;431;FALHA DE METALIZAÇÃO;12,02;808,20;Reposição de obra (EDGE DELETION);;;;-;Sistema RO
GLASSEC VIDROS DE SEGURANCA LTDA;03490-2024;27/09/2024;002;27/09/2024;431;FALHA DE METALIZAÇÃO;104,04;6.996,72;Reposição de obra (EDGE DELETION);;;;-;Sistema RO
GLASSEC VIDROS DE SEGURANCA LTDA;03491-2024;27/09/2024;002;27/09/2024;431;FALHA DE METALIZAÇÃO;53,71;2.664,00;Reposição de obra (EDGE DELETION);;;;-;Sistema RO
GLASSEC VIDROS DE SEGURANCA LTDA;03493-2024;27/09/2024;002;27/09/2024;431;FALHA DE METALIZAÇÃO;54,23;2.690,10;Reposição de obra (EDGE DELETION);;;;-;Sistema RO
GLASSEC VIDROS DE SEGURANCA LTDA;02371-2025;18/07/2025;002;21/07/2025;134;MANCHAS;11,74;933,09;Obra Senado;;;;-;Sistema RO
GLASSEC VIDROS DE SEGURANCA LTDA;02372-2025;18/07/2025;002;21/07/2025;134;MANCHAS;23,42;2.426,93;Obra Senado;;;;-;Sistema RO
VIDRACARIA PESTANA LTDA.;03076-2025;03/09/2025;002;03/09/2025;90;VARIAÇÃO DIMENSIONAL;0,39;19,26;Em análise;;;;-;Sistema RO
PKO DO BRASIL IMPORT E EXPORT LTDA;03422-2025;24/09/2025;002;25/09/2025;68;DEFORMAÇÃO;0,11;4,24;Aguardando resposta Laminado;;;;-;Sistema RO
CRISTAL SETE VIDROS TEMPERADOS LTDA;03585-2025;06/10/2025;002;07/10/2025;56;MANCHAS;0,08;4,58;Aguardando amostras;;;;-;Sistema RO
CASAS BANDEIRANTES LTDA;03699-2025;13/10/2025;002;14/10/2025;49;CHAPAS QUEBRADAS;0,19;35,31;Aguardando RIE - solicitação feita via e-mail/ telefone;;;;-;Sistema RO
CASAS BANDEIRANTES LTDA;03801-2025;21/10/2025;002;22/10/2025;41;MANCHAS;0,74;77,04;Amostra enviada para laboratório/ decapagem;;;;-;Sistema RO
MARY ART SAO PAULO IND E COM LTDA;03841-2025;23/10/2025;002;24/10/2025;39;BOLHAS;0,04;1,79;Aguardando fotos com escala ou amostras;;;;-;Sistema RO
VIDRACARIA LAJEADENSE LTDA.;03851-2025;24/10/2025;002;27/10/2025;36;FALHA DE METALIZAÇÃO;0,13;4,37;Aguardando amostras;Aguardando amostras;2;aguardando amostras;-;Sistema RO
PKO DO BRASIL IMPORT E EXPORT LTDA;03897-2025;28/10/2025;002;29/10/2025;34;BOLHAS;0,06;2,33;Aguardando amostras;;;;-;Sistema RO
